Quantity,Discipline,Quantity TypeId,Type Catalog String,Unit Name,Unit TypeId,Unit Symbol,Conversion Factor From Internal,Conversion Factor To Internal,Is Valid
"Cooling Load divided by Volume","HVAC","autodesk.spec.aec.hvac:coolingLoadDividedByVolume-2.0.0","HVAC_COOLING_LOAD_DIVIDED_BY_VOLUME","Watts per cubic meter","autodesk.unit.unit:wattsPerCubicMeter-1.0.1","W/m³",3.28083989501312,0.3048,True
"Cross Section","HVAC","autodesk.spec.aec.hvac:crossSection-2.0.0","HVAC_CROSS_SECTION","Acres","autodesk.unit.unit:acres-1.0.1","acres",2.29568411386593E-05,43560,True
"Cross Section","HVAC","autodesk.spec.aec.hvac:crossSection-2.0.0","HVAC_CROSS_SECTION","Hectares","autodesk.unit.unit:hectares-1.0.1","hectare",9.290304E-06,107639.104167097,True
"Cross Section","HVAC","autodesk.spec.aec.hvac:crossSection-2.0.0","HVAC_CROSS_SECTION","Square centimeters","autodesk.unit.unit:squareCentimeters-1.0.1","cm²",929.0304,0.00107639104167097,True
"Cross Section","HVAC","autodesk.spec.aec.hvac:crossSection-2.0.0","HVAC_CROSS_SECTION","Square feet","autodesk.unit.unit:squareFeet-1.0.1","SF",1,1,True
"Cross Section","HVAC","autodesk.spec.aec.hvac:crossSection-2.0.0","HVAC_CROSS_SECTION","Square inches","autodesk.unit.unit:squareInches-1.0.1","in²",144,0.00694444444444444,True
"Cross Section","HVAC","autodesk.spec.aec.hvac:crossSection-2.0.0","HVAC_CROSS_SECTION","Square meters","autodesk.unit.unit:squareMeters-1.0.1","m²",0.09290304,10.7639104167097,True
"Cross Section","HVAC","autodesk.spec.aec.hvac:crossSection-2.0.0","HVAC_CROSS_SECTION","Square millimeters","autodesk.unit.unit:squareMillimeters-1.0.1","mm²",92903.04,1.07639104167097E-05,True
"Density","HVAC","autodesk.spec.aec.hvac:density-2.0.0","HVAC_DENSITY","Kilograms per cubic meter","autodesk.unit.unit:kilogramsPerCubicMeter-1.0.1","kg/m³",35.3146667214886,0.028316846592,True
"Density","HVAC","autodesk.spec.aec.hvac:density-2.0.0","HVAC_DENSITY","Pounds mass per cubic foot","autodesk.unit.unit:poundsMassPerCubicFoot-1.0.1","lbm/ft³",2.20462262184878,0.45359237,True
"Density","HVAC","autodesk.spec.aec.hvac:density-2.0.0","HVAC_DENSITY","Pounds mass per cubic inch","autodesk.unit.unit:poundsMassPerCubicInch-1.0.1","lbm/in³",0.00127582327653286,783.80761536,True
"Diffusivity","HVAC","autodesk.spec.aec.hvac:diffusivity-2.0.0","HVAC_DIFFUSIVITY","Square feet per second","autodesk.unit.unit:squareFeetPerSecond-1.0.0","ft²/s",1,1,True
"Diffusivity","HVAC","autodesk.spec.aec.hvac:diffusivity-2.0.0","HVAC_DIFFUSIVITY","Square meters per second","autodesk.unit.unit:squareMetersPerSecond-1.0.0","m²/s",0.09290304,10.7639104167097,True
"Duct Insulation Thickness","HVAC","autodesk.spec.aec.hvac:ductInsulationThickness-2.0.0","HVAC_DUCT_INSULATION_THICKNESS","Centimeters","autodesk.unit.unit:centimeters-1.0.1","cm",30.48,0.0328083989501312,True
"Duct Insulation Thickness","HVAC","autodesk.spec.aec.hvac:ductInsulationThickness-2.0.0","HVAC_DUCT_INSULATION_THICKNESS","Decimeters","autodesk.unit.unit:decimeters-1.0.1","dm",3.048,0.328083989501312,True
"Duct Insulation Thickness","HVAC","autodesk.spec.aec.hvac:ductInsulationThickness-2.0.0","HVAC_DUCT_INSULATION_THICKNESS","Feet","autodesk.unit.unit:feet-1.0.1","LF",1,1,True
"Duct Insulation Thickness","HVAC","autodesk.spec.aec.hvac:ductInsulationThickness-2.0.0","HVAC_DUCT_INSULATION_THICKNESS","Inches","autodesk.unit.unit:inches-1.0.1",""",12,0.0833333333333333,True
"Duct Insulation Thickness","HVAC","autodesk.spec.aec.hvac:ductInsulationThickness-2.0.0","HVAC_DUCT_INSULATION_THICKNESS","Meters","autodesk.unit.unit:meters-1.0.0","m",0.3048,3.28083989501312,True
"Duct Insulation Thickness","HVAC","autodesk.spec.aec.hvac:ductInsulationThickness-2.0.0","HVAC_DUCT_INSULATION_THICKNESS","Millimeters","autodesk.unit.unit:millimeters-1.0.1","mm",304.8,0.00328083989501312,True
